Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-11-24;34,00;6,00;6,00;11,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;4,53;27,20;6,00;6,00;6,00;0,00;0,00;0,00;61,63;0,00;0,00;17,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;23,00;0,00;0,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;11,50;59,80;0,00;0,00;0,00;0,00;0,00;0,00;92,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;29,00;18,00;0,00;12,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;17,85;29,00;0,00;6,00;6,00;0,00;0,00;0,00;97,36;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;47,00;18,00;0,00;12,00;12,00;12,00;0,00;6,00;0,00;6,71;0,00;6,71;0,00;0,00;0,00;6,00;0,00;0,00;0,00;66,23;0,00;0,00;0,00;6,00;12,00;0,00;0,00;0,00;0,00;6,00;6,00;6,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;94,00;7,00;0,00;7,00;13,00;7,00;0,00;0,00;0,00;6,88;0,00;0,00;34,39;0,00;0,00;0,00;0,00;0,00;0,00;106,82;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;7,00;7,00;13,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;89,00;0,00;6,00;13,00;13,00;6,00;6,00;6,00;6,00;6,85;0,00;0,00;38,79;0,00;0,00;6,00;0,00;0,00;0,00;133,50;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;6,00;6,00;6,00;6,00;13,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;29,00;6,00;12,00;12,00;0,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00;33,46;0,00;6,00;12,00;17,00;6,21;0,00;78,71;0,00;6,00;0,00;0,00;12,00;6,00;0,00;0,00;6,00;0,00;0,00;12,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;27,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,25;11,00;0,00;0,00;16,00;0,00;0,00;90,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;21,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;39,00;6,00;17,00;17,00;6,00;0,00;0,00;6,00;0,00;4,59;0,00;0,00;27,53;6,00;0,00;11,00;11,00;0,00;0,00;84,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;5,00;11,00;0,00;11,00;16,00;0,00;5,00;11,00;0,00;0,00;0,00;0,00;17,50;0,00;0,00;0,00;0,00;0,00;0,00;71,67;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;16,00;0,00;0,00;0,00;22,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
